Date,Close,Return_next,Predicted_Close_next,Predicted_Return_next,Signal
01-Jun-17,31531.330000,-0.010077,31526.582879,-0.000151,HOLD
02-Jun-17,31213.590000,0.007543,31218.586103,0.000160,HOLD
05-Jun-17,31449.030000,0.010234,31487.177239,0.001213,BUY
06-Jun-17,31770.890000,0.000773,31794.467655,0.000742,HOLD
07-Jun-17,31795.460000,-0.008516,31793.974978,-0.000047,HOLD
08-Jun-17,31524.680000,-0.008432,31502.698229,-0.000697,HOLD
09-Jun-17,31258.850000,0.001056,31237.326721,-0.000689,HOLD
12-Jun-17,31291.850000,0.008825,31284.019615,-0.000250,HOLD
13-Jun-17,31568.010000,0.000889,31572.563557,0.000144,HOLD
14-Jun-17,31596.060000,0.004898,31579.978899,-0.000509,HOLD
15-Jun-17,31750.820000,-0.011415,31745.080810,-0.000181,HOLD
16-Jun-17,31388.390000,0.008222,31368.486283,-0.000634,HOLD
19-Jun-17,31646.460000,0.002655,31665.069461,0.000588,HOLD
20-Jun-17,31730.490000,0.005097,31726.297468,-0.000132,HOLD
21-Jun-17,31892.230000,-0.005957,31897.819045,0.000175,HOLD
22-Jun-17,31702.250000,0.003385,31675.373603,-0.000848,HOLD
23-Jun-17,31809.550000,-0.004639,31812.801576,0.000102,HOLD
27-Jun-17,31661.970000,0.000024,31659.009941,-0.000093,HOLD
28-Jun-17,31662.740000,0.000783,31670.504712,0.000245,HOLD
29-Jun-17,31687.520000,0.006142,31698.250723,0.000339,HOLD
30-Jun-17,31882.160000,0.008673,31905.277030,0.000725,HOLD
03-Jul-17,32158.660000,0.000863,32178.702389,0.000623,HOLD
04-Jul-17,32186.410000,0.001725,32209.428007,0.000715,HOLD
05-Jul-17,32241.930000,0.000952,32248.098013,0.000191,HOLD
06-Jul-17,32272.610000,0.004684,32284.380316,0.000365,HOLD
07-Jul-17,32423.760000,-0.000660,32441.103910,0.000535,HOLD
10-Jul-17,32402.370000,-0.000057,32396.339968,-0.000186,HOLD
11-Jul-17,32400.510000,-0.000940,32403.923429,0.000105,HOLD
12-Jul-17,32370.040000,-0.013828,32367.379885,-0.000082,HOLD
13-Jul-17,31922.440000,-0.009267,31912.554265,-0.000310,HOLD
